"Sample Collection Date","Site Name","County","PCR Pathogen Target","PCR Gene Target","Normalized Pathogen Concentration (gene copies/person/day)","Date/Time Updated"
2023-09-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-09-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-02 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-09 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-16 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-23 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-26 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-10-30 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-02 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-12 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-16 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-11-30 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",202951038.705014,2024-04-10 09:07:19
2023-12-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-12-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",65888279.2305425,2024-04-10 09:07:19
2024-01-03 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-05 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",68998716.2396388,2024-04-10 09:07:19
2024-01-10 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-12 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-17 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-19 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-24 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-26 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-01-31 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-02 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-05 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-07 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-09 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
